steam_id,comp_main,comp_plus,comp_100
367520,97025,149615,233815
3764200,38215,47642,103770
883710,31671,55628,132141
1903340,104420,163323,242859
292030,185783,373394,628484
1196590,35439,46327,137958
1091500,93609,226927,389526
2050650,58175,78107,231404
620,30759,49422,81126
400,11232,18872,37320
990080,96104,162716,259062
271590,115393,184815,318152
1086940,262014,416650,648261
1174180,182332,304002,697701
1245620,215942,364202,487934
49520,108355,197353,468520
418370,33409,43150,101527
413150,192115,340346,614181
1145360,84113,174749,342764
952060,21671,27623,73626
1593500,73984,118474,184019
409710,43594,56280,83354
203160,40768,55644,75215
1687950,364583,443047,507008
220,46367,56168,71434
1030300,101201,165689,231209
2215430,90247,166322,224863
2592160,30752,36837,71469
489830,93458,402309,735520
379430,151960,288019,490698
8870,41531,57838,102794
632470,85403,119232,172253
379720,41630,59207,97522
35140,39880,55879,91174
70,43060,50752,55314
391540,25191,40578,74356
1222140,43490,56645,115184
1172380,62128,80141,114447
424840,12847,18579,32333
550,36604,99573,217933
22380,96453,217024,473795
200260,48505,81307,211090
870780,46115,91096,139684
2379780,26989,165644,909468
208650,61321,113247,184273
782330,51799,74008,105857
105600,186396,331856,738234
1850570,136545,212664,400738
409720,37926,51878,85391
287390,35235,48570,99805
1462040,116583,148153,309695
1145350,109827,180061,373831
377160,99848,299275,578558
646570,43668,170828,671006
374320,112204,174119,361717
504230,29889,52671,140219
241930,56654,86229,118360
2129530,16222,18218,25699
286690,32595,41550,85083
524220,76566,135205,220605
2322010,95468,146292,199816
570940,105630,158426,246301
21690,43469,60487,127277
205100,43747,66549,135555
412020,56995,86249,150043
356190,75533,131479,204960
1817070,64497,105261,161262
239140,65323,131211,230892
391220,47915,78687,127291
3837340,129651,177604,286416
814380,108515,154815,250282
1113000,241289,302796,482203
1888930,51460,64560,87626
218620,97281,556977,1936327
20920,86945,124654,203715
753640,61409,81593,103989
397540,84133,166380,300316
435150,213437,364798,565836
2183900,34525,55367,239665
1237970,21952,29902,58013
601150,40123,60996,277849
1328670,219757,365672,496244
304240,40388,53743,112966
1151640,104456,188334,272645
2651280,61831,84929,102698
48000,12869,15059,24201
254700,56165,70259,113392
221040,75071,98515,187415
750920,46862,93372,153477
209000,44686,78929,148365
1426210,46020,51164,59116
1774580,73461,121684,199323
1817190,27978,45049,66613
1939970,20604,23763,29839
275850,114175,276328,563984
730,536668,1343033,2719871
362890,54672,66409,96403
2124490,57524,66952,115041
108710,40222,51801,98201
774361,50462,71764,111961
20900,126933,165563,229715
201810,40913,55167,87845
632360,38775,156510,522527
1868140,90077,121912,183113
1794680,53852,100721,189828
12210,110581,189288,360879
2097230,14459,17997,21872
307690,51631,84897,149703
3527290,21823,57230,154007
1313140,52227,71716,105965
320,8257,34970,77597
242760,57103,102499,211630
638970,113607,232168,520400
264710,107666,153089,188671
268910,37660,57728,100507
2947440,38482,59193,124105
729040,74001,128974,269389
1332010,18515,23941,37051
1562430,34711,45874,72950
289070,84612,354950,1395363
582010,167321,414063,1544244
976730,156250,253109,1204242
588650,50650,114761,327452
2161700,232838,307956,357295
683320,12786,14914,23169
234140,72314,139783,221728
582160,108521,188982,307235
2679460,235020,316419,393712
752590,39352,45320,57437
387290,32567,40834,46007
220240,57355,91822,130823
